ID_Pago;Fecha_Pago;ID_Contrato;Importe_Pagado;Estado_Pago;Dias_Retraso;Metodo_Pago;version_sistema;usuario_carga
PG00001;2025-03-05;CT0001;1070;Cobrado;0;efectivo;v3.1.8;mlopez
PG00002;2025-04-05;CT0001;1070;Ok;??;Domic.;v3.2.1;jgarcia
PG00003;2025-05-05;CT0001;1070;Pagado;0;TRANSF;v3.2.1;jgarcia
PG00004;2025-06-05;ct0001;1070;pagado;0;Domiciliacion;v3.2.1;mlopez
PG00005;2025-07-05;CT0001;1070;pagado;0;BIZUM;v3.1.8;mlopez
PG00006;2025-08-05;CT0001;1070;PAG;0;BZM;v3.1.8;sistema_auto
PG00007;2025-09-05;CT0001;1070;PAG;0;TRANSF;v3.1.8;sistema_auto
PG00008;2025-10-05;CT0001;1070;Al corriente;0;Efectivo;v3.2.0;sistema_auto
PG00009;2025-11-05;CT0001;1070;OK;0;Recibo;v3.1.8;mlopez
PG00010;2025-12-05;CT0001;0;NO;44;Bizum;v3.2.1;mlopez
PG00011;2022-05-05;CT0002;620;Ok;0;TRANSF;v3.2.0;admin
PG00012;2022-06-05;CT0002;620;PAG;0;transferencia;v3.2.1;import_batch
PG00013;2022-07-05;CT0002;620;PAGADO;0;Metalico;v3.2.0;sistema_auto
PG00014;2022-08-05;CT0002;620;Pagado;0;Metalico;v3.2.0;mlopez
PG00015;2022-09-05;CT0002;620;Pdo.;0;Transf.;v3.1.8;sistema_auto
PG00016;2022-10-05;CT0002;620;pagado;0;TRANSF;v3.1.8;admin
PG00017;2022-11-05;CT0002;620;Pagado;0;EFE;v3.1.8;admin
PG00018;2022-12-05;CT0002;620;OK;0;BIZUM;v3.2.0;admin
PG00019;2023-01-05;CT0002;620;OK;0;TRF;v3.2.1;mlopez
PG00020;2023-02-05;CT0002;620;Con retraso;;Domiciliacion;v3.1.8;sistema_auto
PG00021;2023-03-05;CT0002;620;PAG;0;efectivo;v3.2.1;jgarcia
PG00022;2023-04-05;ct-0002;620;pagado;0;TRANSF;v3.2.0;import_batch
PG00023;2023-05-05;CT0002;620;OK;??;Bizum;v3.2.0;mlopez
PG00024;2023-06-05;CT0002;620;Atrasado;23;Transferencia;v3.2.1;jgarcia
PG00025;2023-07-05;CT0002;620;Cobrado;0;Bizum;v3.2.0;admin
PG00026;2023-08-05;CT0002;620;OK;0;Domiciliación;v3.2.1;mlopez
PG00027;2023-09-05;CT0002;620;pagado;0;Cash;v3.2.0;jgarcia
PG00028;2023-10-05;CT0002;620;RETRASO;14;Domiciliacion;v3.2.0;sistema_auto
PG00029;2023-11-05;CT0002;620;OK;0;efectivo;v3.2.1;admin
PG00030;2023-12-05;CT0002;620;PAG;0;Bizum;v3.1.8;jgarcia
PG00031;2024-01-05;CT0002;620;P;0;Recibo;v3.1.8;sistema_auto
PG00032;2024-02-05;CT0002;620;PAGADO;0;Transf.;v3.2.1;mlopez
PG00033;2024-03-05;CT0002;620;Al corriente;0;BZM;v3.2.1;import_batch
PG00034;2024-04-05;CT0002;620;Pagado;0;Cash;v3.2.1;sistema_auto
PG00035;2024-05-05;CT0002;620;Al corriente;0;Transferencia;v3.1.8;jgarcia
