Suma de Dias_Retraso,Estado_Pago,Año,Trimestre,Mes,Día,ID_Contrato,ID_Pago,Suma de Importe_Pagado,Metodo_Pago
29,Fuera De Plazo,2022,Qtr 1,marzo,5,CT0138,PG02075,3020 €,Efectivo
19,Fuera De Plazo,2022,Qtr 2,abril,5,CT0034,PG00528,1260 €,Bizum
14,Fuera De Plazo,2022,Qtr 2,mayo,5,CT 0120,PG01782,670 €,Domiciliación
12,Fuera De Plazo,2022,Qtr 2,mayo,5,CT0119,PG01777,320 €,Bizum
15,Fuera De Plazo,2022,Qtr 2,mayo,5,CT0138,PG02077,3020 €,Efectivo
23,Fuera De Plazo,2022,Qtr 2,junio,5,CT0025,PG00383,1860 €,Domiciliación
6,Fuera De Plazo,2022,Qtr 2,junio,5,CT0054,PG00849,2200 €,Domiciliación
9,Fuera De Plazo,2022,Qtr 2,junio,5,CT0056,PG00878,1570 €,Transferencia
25,Fuera De Plazo,2022,Qtr 2,junio,5,CT0126,PG01857,1400 €,Efectivo
8,Fuera De Plazo,2022,Qtr 2,junio,5,CT0138,PG02078,3020 €,Domiciliación
15,Fuera De Plazo,2022,Qtr 3,julio,5,CT0037,PG00552,2640 €,Transferencia
25,Fuera De Plazo,2022,Qtr 3,agosto,5,CT0084,PG01254,1950 €,Efectivo
16,Fuera De Plazo,2022,Qtr 3,agosto,5,CT0128,PG01905,1470 €,Bizum
13,Fuera De Plazo,2022,Qtr 3,septiembre,5,CT 0102,PG01546,480 €,Bizum
12,Fuera De Plazo,2022,Qtr 3,septiembre,5,CT0087,PG01310,2640 €,Efectivo
28,Fuera De Plazo,2022,Qtr 4,octubre,5,0056,PG00882,1570 €,Bizum
29,Fuera De Plazo,2022,Qtr 4,octubre,5,CT0026,PG00407,1070 €,Transferencia
18,Fuera De Plazo,2022,Qtr 4,noviembre,5,CT0048,PG00718,1590 €,Transferencia
11,Fuera De Plazo,2022,Qtr 4,noviembre,5,CT0056,PG00883,1570 €,Efectivo
20,Fuera De Plazo,2022,Qtr 4,noviembre,5,CT0084,PG01257,1950 €,Transferencia
27,Fuera De Plazo,2022,Qtr 4,noviembre,5,CT0106,PG01607,2480 €,Bizum
5,Fuera De Plazo,2022,Qtr 4,noviembre,5,CT0114,PG01724,1090 €,Efectivo
24,Fuera De Plazo,2022,Qtr 4,diciembre,5,CT0026,PG00409,1070 €,Domiciliación
6,Fuera De Plazo,2022,Qtr 4,diciembre,5,CT0054,PG00855,2200 €,Bizum
6,Fuera De Plazo,2022,Qtr 4,diciembre,5,CT0095,PG01444,2070 €,Transferencia
29,Fuera De Plazo,2022,Qtr 4,diciembre,5,CT0098,PG01488,2370 €,Transferencia
9,Fuera De Plazo,2022,Qtr 4,diciembre,5,CT0115,PG01732,1500 €,Bizum
5,Fuera De Plazo,2023,Qtr 1,enero,5,CT0024,PG00382,2190 €,Bizum
13,Fuera De Plazo,2023,Qtr 1,enero,5,CT0034,PG00537,1260 €,Bizum
11,Fuera De Plazo,2023,Qtr 1,enero,5,CT0053,PG00831,960 €,Bizum
10,Fuera De Plazo,2023,Qtr 1,enero,5,CT0056,PG00885,1570 €,Domiciliación
18,Fuera De Plazo,2023,Qtr 1,enero,5,CT0086,PG01283,490 €,Efectivo
9,Fuera De Plazo,2023,Qtr 1,enero,5,CT0136,PG02059,1540 €,Bizum
9,Fuera De Plazo,2023,Qtr 1,febrero,5,CT0026,PG00411,1070 €,Bizum
27,Fuera De Plazo,2023,Qtr 1,marzo,5,CT0128,PG01912,1470 €,Efectivo
28,Fuera De Plazo,2023,Qtr 2,abril,5,CT0115,PG01736,1500 €,Transferencia
8,Fuera De Plazo,2023,Qtr 2,mayo,5,CT0015,PG00265,910 €,Efectivo
7,Fuera De Plazo,2023,Qtr 2,junio,5,0088,PG01325,940 €,Bizum
23,Fuera De Plazo,2023,Qtr 2,junio,5,CT0002,PG00024,620 €,Transferencia
17,Fuera De Plazo,2023,Qtr 2,junio,5,CT0115,PG01738,1500 €,Domiciliación
11,Fuera De Plazo,2023,Qtr 2,junio,5,CT0135,PG02051,760 €,Domiciliación
15,Fuera De Plazo,2023,Qtr 3,julio,5,ct-0052,PG00816,2170 €,Efectivo
