codigo,magnitud,tipoMagnitud,lugar,profundidadKm,tsunami,red,alerta,sentidos,estado,fechaHora,fuentes,estaciones,ubicacion
ak600000001,5.6,mw,"Tokyo, Japan",17.6,False,ak,,3112,automatic,2026-03-16T15:13:00Z,"[""uu"", ""hv""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 221, ""magnitudLocal"": 5.1}, {""codigo"": ""II.KIV"", ""distanciaKm"": 116, ""magnitudLocal"": 5.3}, {""codigo"": ""II.PFO"", ""distanciaKm"": 292, ""magnitudLocal"": 5.3}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 117, ""magnitudLocal"": 5.5}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 8, ""magnitudLocal"": 5.9}, {""codigo"": ""GE.STU"", ""distanciaKm"": 221, ""magnitudLocal"": 5.4}, {""codigo"": ""GE.STU"", ""distanciaKm"": 115, ""magnitudLocal"": 6.1}]","{""type"": ""Point"", ""coordinates"": [37.341371, 55.283089]}"
ak600000002,6.3,mw,"Santiago, Chile",375.4,False,pr,,2656,automatic,2026-08-02T11:39:00Z,"[""uu""]","[{""codigo"": ""IU.COLA"", ""distanciaKm"": 300, ""magnitudLocal"": 6.0}, {""codigo"": ""II.KIV"", ""distanciaKm"": 28, ""magnitudLocal"": 6.5}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 45, ""magnitudLocal"": 6.7}, {""codigo"": ""II.KIV"", ""distanciaKm"": 199, ""magnitudLocal"": 6.1}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 88, ""magnitudLocal"": 6.2}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 141, ""magnitudLocal"": 6.5}, {""codigo"": ""II.KIV"", ""distanciaKm"": 92, ""magnitudLocal"": 6.3}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 88, ""magnitudLocal"": 6.3}]","{""type"": ""Point"", ""coordinates"": [-168.443912, -33.218451]}"
ak600000003,2.6,mwr,"Mexico City, Mexico",147.8,False,nc,green,3271,reviewed,2026-08-18T03:23:00Z,"[""us""]","[{""codigo"": ""HV.HILO"", ""distanciaKm"": 207, ""magnitudLocal"": 3.0}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 78, ""magnitudLocal"": 2.4}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 292, ""magnitudLocal"": 2.6}]","{""type"": ""Point"", ""coordinates"": [3.429466, -73.636306]}"
ak600000004,0.9,mwr,"Tokyo, Japan",76.8,False,uu,,2444,automatic,2026-11-04T09:46:00Z,"[""hv""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 202, ""magnitudLocal"": 0.8}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 275, ""magnitudLocal"": 0.7}, {""codigo"": ""II.PFO"", ""distanciaKm"": 63, ""magnitudLocal"": 1.1}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 179, ""magnitudLocal"": 0.5}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 85, ""magnitudLocal"": 0.9}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 261, ""magnitudLocal"": 1.2}]","{""type"": ""Point"", ""coordinates"": [94.503888, 7.088225]}"
ak600000005,6.7,ml,"Wellington, New Zealand",371.3,True,uu,,566,automatic,2026-01-15T04:22:00Z,"[""pr""]","[{""codigo"": ""IU.COLA"", ""distanciaKm"": 162, ""magnitudLocal"": 6.4}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 295, ""magnitudLocal"": 7.1}]","{""type"": ""Point"", ""coordinates"": [-8.898344, 8.964647]}"
ak600000006,2.6,mb,"Jakarta, Indonesia",610.7,False,pr,,3976,automatic,2026-05-27T11:22:00Z,"[""us"", ""pr"", ""nc""]","[{""codigo"": ""IU.ANMO"", ""distanciaKm"": 209, ""magnitudLocal"": 3.1}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 229, ""magnitudLocal"": 3.0}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 66, ""magnitudLocal"": 2.3}, {""codigo"": ""II.KIV"", ""distanciaKm"": 178, ""magnitudLocal"": 2.1}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 117, ""magnitudLocal"": 2.1}, {""codigo"": ""II.PFO"", ""distanciaKm"": 122, ""magnitudLocal"": 2.2}, {""codigo"": ""II.PFO"", ""distanciaKm"": 174, ""magnitudLocal"": 2.2}]","{""type"": ""Point"", ""coordinates"": [27.436194, -46.260496]}"
ak600000007,4.3,mb,"Tokyo, Japan",285.0,False,ci,,4508,automatic,2026-09-15T23:47:00Z,"[""pr""]","[{""codigo"": ""AK.ADAG"", ""distanciaKm"": 244, ""magnitudLocal"": 4.7}, {""codigo"": ""II.PFO"", ""distanciaKm"": 55, ""magnitudLocal"": 3.9}, {""codigo"": ""IU.COLA"", ""distanciaKm"": 60, ""magnitudLocal"": 4.0}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 279, ""magnitudLocal"": 4.2}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 98, ""magnitudLocal"": 4.1}]","{""type"": ""Point"", ""coordinates"": [179.741689, 60.484965]}"
ak600000008,8.3,mb,"Granada, Spain",648.5,False,nc,,4441,automatic,2026-12-20T15:11:00Z,"[""hv"", ""ak"", ""pr""]","[{""codigo"": ""IU.CTAO"", ""distanciaKm"": 210, ""magnitudLocal"": 8.7}, {""codigo"": ""GE.STU"", ""distanciaKm"": 199, ""magnitudLocal"": 7.8}, {""codigo"": ""AK.ADAG"", ""distanciaKm"": 140, ""magnitudLocal"": 8.7}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 151, ""magnitudLocal"": 8.2}, {""codigo"": ""HV.HILO"", ""distanciaKm"": 84, ""magnitudLocal"": 8.0}]","{""type"": ""Point"", ""coordinates"": [30.303934, 0.513069]}"
ak600000009,7.3,mww,"Athens, Greece",110.3,False,hv,,1673,reviewed,2026-05-16T07:31:00Z,"[""hv""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 125, ""magnitudLocal"": 7.2}, {""codigo"": ""IU.CTAO"", ""distanciaKm"": 25, ""magnitudLocal"": 7.4}]","{""type"": ""Point"", ""coordinates"": [-37.517095, 30.90424]}"
ak600000010,2.9,mb,"Jakarta, Indonesia",221.4,False,ak,,876,automatic,2026-11-30T17:07:00Z,"[""hv"", ""nc""]","[{""codigo"": ""II.KIV"", ""distanciaKm"": 42, ""magnitudLocal"": 2.9}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 72, ""magnitudLocal"": 3.3}, {""codigo"": ""II.KIV"", ""distanciaKm"": 130, ""magnitudLocal"": 2.8}, {""codigo"": ""GE.STU"", ""distanciaKm"": 229, ""magnitudLocal"": 3.2}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 275, ""magnitudLocal"": 2.4}, {""codigo"": ""IU.ANMO"", ""distanciaKm"": 58, ""magnitudLocal"": 3.3}]","{""type"": ""Point"", ""coordinates"": [-104.173324, -28.281548]}"
